"organization_name","site_name","date","dow","fiscal week #","fiscal month","fiscal year","traffic","currency","comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","16/02/2021","Mar","8","Feb","2021","9205","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","17/02/2021","Mie","8","Feb","2021","7462","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","18/02/2021","Jue","8","Feb","2021","7982","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","19/02/2021","Vie","8","Feb","2021","9928","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","20/02/2021","Sáb","8","Feb","2021","383","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","21/02/2021","Dom","9","Feb","2021","278","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","22/02/2021","Lun","9","Feb","2021","8623","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","23/02/2021","Mar","9","Feb","2021","7939","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","24/02/2021","Mie","9","Feb","2021","7830","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","25/02/2021","Jue","9","Feb","2021","8434","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","26/02/2021","Vie","9","Feb","2021","10306","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","27/02/2021","Sáb","9","Feb","2021","377","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","28/02/2021","Dom","10","Feb","2021","422","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","01/03/2021","Lun","10","Mar","2021","7984","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","02/03/2021","Mar","10","Mar","2021","7670","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","03/03/2021","Mie","10","Mar","2021","7641","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","04/03/2021","Jue","10","Mar","2021","7289","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","05/03/2021","Vie","10","Mar","2021","8760","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","06/03/2021","Sáb","10","Mar","2021","11322","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","07/03/2021","Dom","11","Mar","2021","9368","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","08/03/2021","Lun","11","Mar","2021","5822","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","09/03/2021","Mar","11","Mar","2021","6589","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","10/03/2021","Mie","11","Mar","2021","6716","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","11/03/2021","Jue","11","Mar","2021","6622","NONE","Comp"
